Item,Ingredients,Diet,Protein,Carbs,Fats,Sweet,Bitter,Spicy,Sour,Dessert,Main-course,Starter,North-indian,South-indian
baby_back_ribs,pork ribs barbecue sauce,1,1,0,1,0,0,1,0,0,1,0,0,0
beef_tacos,ground beef taco shells lettuce tomatoes cheese salsa sour cream,1,1,1,1,0,0,1,0,0,1,0,0,0
beet_salad,beets olive oil vinegar salt pepper,0,1,0,0,0,1,0,1,0,1,0,0,0
breakfast_burrito,tortilla eggs bacon sausage potatoes cheese salsa,1,1,1,1,0,0,1,0,0,1,0,0,0
bruschetta,baguette tomatoes garlic basil olive oil balsamic vinegar salt pepper,0,0,1,1,0,1,1,1,0,1,1,0,0
caesar_salad,romaine lettuce croutons parmesan cheese caesar dressing,0,1,1,0,0,1,0,1,0,1,1,0,0
chicken_curry,chicken onions tomatoes garlic ginger curry powder turmeric cumin coriander chili powder salt,1,1,1,1,0,0,1,0,0,1,0,0,0
chicken_quesadilla,chicken tortilla cheese salsa,1,1,1,1,0,0,1,0,0,1,0,0,0
chicken_wings,chicken wings barbecue sauce,1,1,0,1,0,0,1,0,0,1,0,0,0
club_sandwich,bread turkey bacon lettuce tomato mayonnaise,1,1,1,1,0,0,0,0,0,1,0,0,0
falafel,chickpeas onions garlic parsley cilantro cumin coriander flour baking powder salt pepper vegetable oil,0,1,1,1,0,0,1,0,0,1,1,0,0
filet_mignon,beef tenderloin steak salt pepper butter,1,1,0,1,0,0,0,0,0,1,0,0,0
fish_and_chips,cod fish potatoes flour salt pepper oil vinegar,1,1,1,1,0,0,0,0,0,1,0,0,0
french_fries,potatoes oil salt,0,0,1,1,0,0,1,0,0,1,1,0,0
french_onion_soup,onions beef broth garlic thyme bay leaf butter flour Gruyere cheese baguette salt pepper,0,0,1,1,0,1,0,1,0,1,1,0,0
fried_calamari,squid rings flour salt pepper oil lemon wedges marinara sauce,1,1,1,1,0,0,1,0,0,1,1,0,0
fried_rice,rice oil eggs carrots peas onions garlic ginger soy sauce sesame oil salt pepper,1,1,1,1,0,0,1,0,0,1,0,0,0
garlic_bread,bread butter garlic parsley,0,1,1,1,0,0,1,0,0,1,1,0,0
greek_salad,lettuce tomatoes cucumbers olives feta cheese red onion olive oil lemon juice oregano salt pepper,0,1,1,1,0,0,0,1,0,1,1,0,0
grilled_cheese_sandwich,bread cheese butter,1,1,1,1,0,0,0,0,0,1,0,0,0
grilled_salmon,salmon fillets olive oil salt pepper,1,1,1,1,0,0,0,1,0,1,0,0,0
guacamole,avocados onion tomatoes lime juice cilantro salt pepper,0,1,1,1,0,0,1,0,0,1,1,0,0
hamburger,ground beef salt pepper hamburger buns,1,1,0,1,0,0,0,0,0,1,0,0,0
hot_and_sour_soup,chicken broth vinegar soy sauce ginger garlic sugar chili sauce mushrooms tofu bamboo shoots green onions,0,1,1,0,0,0,1,1,0,1,0,0,0
hot_dog,frankfurter bun mustard ketchup onions,1,1,0,1,0,0,1,0,0,1,0,0,0
lasagna,lasagna noodles ricotta cheese mozzarella cheese Parmesan cheese marinara sauce ground beef garlic onions,1,1,1,1,0,0,0,0,0,1,0,0,0
lobster_roll_sandwich,lobster roll bread lobster meat mayonnaise celery lemon juice salt pepper,1,1,0,1,0,0,0,0,0,1,0,0,0
macaroni_and_cheese,macaroni cheddar cheese milk butter flour salt pepper,1,1,1,1,0,0,0,0,0,1,0,0,0
miso_soup,dashi miso paste tofu green onions seaweed,0,1,1,0,0,0,1,1,0,1,0,0,0
nachos,tortilla chips cheese salsa guacamole,0,1,1,1,0,0,1,0,0,1,1,0,0
omelette,eggs milk salt pepper butter vegetables cheese,1,1,1,1,0,0,0,0,0,1,0,0,0
onion_rings,onions flour breadcrumbs salt pepper oil,0,0,1,1,0,0,0,0,0,1,1,0,0
pizza,dough tomato sauce cheese toppings,0,1,1,1,0,0,1,0,0,1,0,0,0
poutine,fries cheese curds gravy,1,1,1,1,0,0,0,0,0,1,0,0,0
ramen,noodles broth meat vegetables,1,1,1,0,0,0,1,0,0,1,0,0,0
samosa,potatoes peas onions spices flour oil,0,1,1,1,0,0,1,0,0,1,1,0,0
spring_rolls,pastry wrappers vegetables meat/shrimp seasoning oil,0,1,1,1,0,0,1,0,0,1,1,0,0
steak,beef steak salt pepper oil,1,1,0,1,0,0,0,0,0,1,0,0,0
Maach Jhol,pork bharta,0,1,1,1,0,0,1,0,0,1,0,0,1
Pork Bharta,black rice milk sugar nuts,0,1,1,1,0,0,1,0,0,1,0,0,1
Galho,rice flour water sugar,0,1,1,1,0,0,1,0,0,1,0,1,0
Aloo gobi,potatoes cauliflower oil cumin seeds turmeric salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Aloo tikki,potatoes bread crumbs coriander powder salt oil,0,1,1,1,0,0,1,0,0,1,1,1,0
Aloo matar,potatoes peas tomatoes onions ginger garlic chili powder garam masala turmeric powder salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Aloo methi,potatoes fenugreek leaves oil cumin seeds asafoetida salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Aloo shimla mirch,potatoes bell peppers onions tomatoes oil cumin seeds salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Bhatura,all-purpose flour yogurt salt sugar baking powder oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Bhindi masala,okra onions tomatoes oil cumin seeds ginger garlic chili powder coriander powder turmeric powder salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Biryani,basmati rice water oil ghee onions tomatoes ginger garlic chili powder turmeric powder garam masala salt cilantro,1,1,1,1,0,0,1,0,0,1,0,1,0
Butter chicken,chicken yogurt lemon juice ginger garlic garam masala chili powder turmeric powder salt oil,1,1,0,1,0,0,1,0,0,1,0,1,0
Chana masala,chicken yogurt lemon juice ginger garlic garam masala chili powder turmeric powder salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Chapati,chicken yogurt lemon juice ginger garlic garam masala chili powder turmeric powder salt oil,0,1,1,1,0,0,0,0,0,1,0,1,0
Chicken razala,chicken yogurt lemon juice ginger garlic garam masala chili powder turmeric powder salt oil,1,1,1,1,0,0,1,0,0,1,0,1,0
Chicken Tikka masala,chicken yogurt lemon juice ginger garlic garam masala chili powder turmeric powder salt oil,1,1,1,1,0,0,1,0,0,1,1,1,0
Chicken Tikka,chicken yogurt lemon juice ginger garlic garam masala chili powder turmeric powder salt oil,1,1,1,1,0,0,1,0,0,1,1,1,0
Chole bhature,chickpeas tomatoes onions ginger garlic chili powder turmeric powder garam masala amchur powder salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Daal baati churma,whole wheat flour water salt oil,0,1,1,1,1,0,1,0,1,1,0,1,0
Daal puri,pigeon peas wheat flour ghee milk sugar,0,1,1,1,1,0,1,0,1,1,0,1,0
Dal makhani,whole wheat flour lentils ghee,0,1,1,1,0,0,1,0,0,1,0,1,0
Dal tadka,lentils tomatoes onions ginger garlic chili powder turmeric powder garam masala salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Dum aloo,potatoes yogurt tomatoes onions ginger garlic chili powder turmeric powder garam masala salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Poha,flattened rice onions peanuts curry leaves mustard seeds turmeric powder chili powder salt sugar cilantro,0,1,1,1,0,0,1,0,0,1,0,1,0
Fara,lentils ginger green chilies oil turmeric powder salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Kachori,wheat flour lentils oil asafoetida salt,0,1,1,1,0,0,1,0,0,1,0,1,0
Kadai paneer,paneer tomatoes onions bell peppers ginger garlic chili powder turmeric powder garam masala coriander powder salt oil,0,1,1,1,0,0,1,0,0,1,0,1,0
Kadhi pakoda,yogurt gram flour turmeric powder chili powder salt fenugreek seeds mustard seeds cumin seeds asafoetida curry leaves ginger garlic green chilies,0,1,1,1,0,0,1,1,0,1,0,1,0
Karela bharta,bitter gourd onions tomatoes oil cumin seeds turmeric powder chili powder salt,0,1,1,1,0,1,1,0,0,1,0,1,0
Khichdi,rice lentils turmeric powder chili powder mustard seeds cumin seeds asafoetida curry leaves ginger garlic green chilies,0,1,1,1,0,0,0,0,0,1,0,1,0
